Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2000,6.55,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2001,6.44,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2002,6.19,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2003,6.25,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2004,5.86,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2005,5.9,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2006,5.75,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2007,5.55,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2008,5.32,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2009,5.18,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2010,4.9,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2011,4.81,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2012,4.58,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2013,4.47,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2014,4.23,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2015,4.29,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2016,4.42,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2017,4.38,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2018,4.31,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2019,4.27,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2020,4.06,National,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2000,6.5,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2001,6.4,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2002,6.3,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2003,6.2,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2004,6.1,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2005,6.0,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2006,5.9,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2007,5.8,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2008,5.6,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2009,5.4,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2010,5.2,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2011,5.0,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2012,4.8,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2013,4.7,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2014,4.5,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2015,4.5,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2016,4.4,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2017,4.4,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2018,4.3,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2019,4.3,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
2020,4.2,Global,Normal value,Units,"Per 1,000 live births",Under-five mortality rate [3.2.1]
