Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2000,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2001,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2002,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2003,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2004,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2005,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2006,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2007,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2008,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2009,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2010,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2011,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2012,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2013,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2014,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2015,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2016,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2017,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2018,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
2019,100,National,Normal value,Units,Percent,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2]
