Year,Value,SERIES
2008,1.55697368984839,Non-performing loans to total gross loans (%) [10.5.1]
2009,3.50865701820859,Non-performing loans to total gross loans (%) [10.5.1]
2010,3.95483378788783,Non-performing loans to total gross loans (%) [10.5.1]
2011,3.9618682056152,Non-performing loans to total gross loans (%) [10.5.1]
2012,3.58628400773794,Non-performing loans to total gross loans (%) [10.5.1]
2013,3.11174173873799,Non-performing loans to total gross loans (%) [10.5.1]
2014,1.65439245472471,Non-performing loans to total gross loans (%) [10.5.1]
2015,1.01450846580939,Non-performing loans to total gross loans (%) [10.5.1]
2016,0.940161283918784,Non-performing loans to total gross loans (%) [10.5.1]
2017,0.734659749879133,Non-performing loans to total gross loans (%) [10.5.1]
2018,1.07262754451579,Non-performing loans to total gross loans (%) [10.5.1]
2019,1.0795039959047,Non-performing loans to total gross loans (%) [10.5.1]
2005,0.95094894730664,Return on assets (%) [10.5.1]
2008,-0.0831297391651503,Return on assets (%) [10.5.1]
2009,-0.0026720005176525,Return on assets (%) [10.5.1]
2010,0.316476487551012,Return on assets (%) [10.5.1]
2011,0.294422997426777,Return on assets (%) [10.5.1]
2012,0.170326196685778,Return on assets (%) [10.5.1]
2013,0.223889675359384,Return on assets (%) [10.5.1]
2014,0.330513389582683,Return on assets (%) [10.5.1]
2015,0.275649427993498,Return on assets (%) [10.5.1]
2016,0.250064491223277,Return on assets (%) [10.5.1]
2017,0.492681328876266,Return on assets (%) [10.5.1]
2018,0.497533568461242,Return on assets (%) [10.5.1]
2019,0.464198858115632,Return on assets (%) [10.5.1]
2008,4.41328122610463,Regulatory capital to assets (%) [10.5.1]
2009,5.39304807009135,Regulatory capital to assets (%) [10.5.1]
2010,5.36611989213514,Regulatory capital to assets (%) [10.5.1]
2011,5.09956513145533,Regulatory capital to assets (%) [10.5.1]
2012,5.50896288366394,Regulatory capital to assets (%) [10.5.1]
2013,6.34548637462939,Regulatory capital to assets (%) [10.5.1]
2014,5.62132221166489,Regulatory capital to assets (%) [10.5.1]
2015,6.83822926439126,Regulatory capital to assets (%) [10.5.1]
2016,7.02517052448229,Regulatory capital to assets (%) [10.5.1]
2017,6.78469168977896,Regulatory capital to assets (%) [10.5.1]
2018,6.81646006540008,Regulatory capital to assets (%) [10.5.1]
2019,6.7899180007364,Regulatory capital to assets (%) [10.5.1]
