Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2000,738.8485,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2001,743.2789,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2002,721.972,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2003,723.0251,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2004,751.9634,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2005,732.6655,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2006,724.2632,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2007,718.9227,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2008,674.9295,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2009,591.6201,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2010,575.3487,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2011,575.5522,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2012,557.4719,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2013,572.7743,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2014,588.3881,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2015,566.5515,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2016,558.3661,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2017,569.638,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2018,565.6744,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2019,566.7899,National,Normal value,Millions,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2000,12.5,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2001,12.6,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2002,12.2,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2003,12.1,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2004,12.5,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2005,12.1,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2006,11.9,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2007,11.7,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2008,10.9,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2009,9.5,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2010,9.2,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2011,9.1,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2012,8.8,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2013,8.9,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2014,9.1,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2015,8.7,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2016,8.5,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2017,8.6,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2018,8.5,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2019,8.485285223,National,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2000,225.7871516,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2001,236.9181129,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2002,219.3087112,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2003,199.0089112,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2004,185.0046183,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2005,181.5959244,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2006,177.7374393,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2007,162.643647,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2008,172.6563103,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2009,184.4772446,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2010,180.0532712,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2011,174.4619579,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2012,171.6982768,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2013,178.114093,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2014,172.4758766,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2015,176.4993963,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2016,195.2596481,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2017,208.7470758,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2018,202.2079501,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2019,212.5544518,National,Normal value,Units,Tonnes per $m,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]"
2000,13.66576,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2001,13.75163,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2002,13.30561,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2003,13.06867,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2004,13.48239,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2005,13.15461,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2006,12.99372,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2007,12.63189,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2008,11.8959,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2009,10.2246,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2010,9.8744,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2011,9.98363,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2012,9.50886,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2013,9.57251,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2014,10.65636,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2015,10.53961,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2016,10.42176,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2017,10.44107,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2018,10.40221,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2019,10.12325,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2000,809735769.15472,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2001,843136053.28986,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2002,805722329.70605,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2003,800489799.59037,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2004,818600009.58785,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
