Year,Value
2001,87
2002,87
2003,88
2004,88
2005,88
2006,89
2007,90
2008,90
2009,91
2010,91
2011,91
2012,87
2013,87
2014,88
2015,87
2016,88
2017,88
2018,88
2019,88
2020,88
2021,88
