Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2019,6.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2018,9.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2017,8.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2016,9.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2015,8.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2014,7.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2013,7.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2012,7.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2011,8.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2010,6.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2009,7.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2008,8.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2007,9.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2006,6.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2005,4.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2004,3.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2003,6.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2002,7.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2001,8.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
2000,9.0,National,Normal value,Units,Litres pure alcohol,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
