Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
1990,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
1991,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
1992,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
1993,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
1994,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
1995,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
1996,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
1997,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
1998,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
1999,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2000,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2001,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2002,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2003,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2004,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2005,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2006,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2007,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2008,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2009,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2010,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2011,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2012,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2013,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2014,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2015,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2016,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2017,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2018,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2019,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2020,100.0,National,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2000,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2001,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2002,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2003,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2004,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2005,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2006,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2007,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2008,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2009,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2010,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2011,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2012,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2013,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2014,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2015,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2016,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2017,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2018,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2019,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
2020,100.0,Global,Normal value,Units,Percent,Proportion of population with access to electricity [7.1.1]
