Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2000,13.66576,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2001,13.75163,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2002,13.30561,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2003,13.06867,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2004,13.48239,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2005,13.15461,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2006,12.99372,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2007,12.63189,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2008,11.8959,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2009,10.2246,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2010,9.8744,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2011,9.98363,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2012,9.50886,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2013,9.57251,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2014,10.65636,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2015,10.53961,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2016,10.42176,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2017,10.44107,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2018,10.40221,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2019,10.12325,Global,Normal value,Units,Metric Tons,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]"
2000,809735769.15472,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2001,843136053.28986,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2002,805722329.70605,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2003,800489799.59037,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2004,818600009.58785,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2005,807612914.39052,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2006,825640265.53532,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2007,826238342.80923,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2008,765089461.01824,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2009,679041940.86791,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2010,660503063.81795,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2011,656993815.88633,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2012,645528837.0695,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2013,642300551.76569,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2014,725229719.364,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2015,723633056.64487,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2016,724831290.63855,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2017,751086407.33645,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2018,754360502.84312,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2019,742849871.71633,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
