Year,Observation-level footnotes,SERIES,Sex,Age,Value
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 years old and over,14.83477
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 years old and over,12.65278
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,65 years old and over,15.48908
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,65 years old and over,13.56408
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 to 24 years old,7.11165
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 to 24 years old,5.70642
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,25 to 44 years old,17.23488
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,25 to 44 years old,15.28516
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,45 to 54 years old,14.90383
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,45 to 54 years old,11.81233
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,55 to 64 years old,16.16135
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,55 to 64 years old,12.85204
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 years old and over,8.14504
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 years old and over,6.96528
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,65 years old and over,11.59789
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,65 years old and over,10.41041
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 to 24 years old,2.77266
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 to 24 years old,2.41965
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,25 to 44 years old,8.33565
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,25 to 44 years old,6.86988
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,45 to 54 years old,8.15256
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,45 to 54 years old,6.61347
2001,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,55 to 64 years old,9.65019
2015,Travel related to unpaid domestic and care work is not included.,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,55 to 64 years old,7.50078
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,15 years old and over,3.26808
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,15 years old and over,2.86806
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,65 years old and over,0.71785
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,65 years old and over,0.79613
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,15 to 24 years old,2.58424
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,15 to 24 years old,1.64399
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,25 to 44 years old,6.02911
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,25 to 44 years old,6.21055
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,45 to 54 years old,1.73551
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,45 to 54 years old,1.49709
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,55 to 64 years old,1.62803
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Female,55 to 64 years old,1.52774
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,15 years old and over,1.45417
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,15 years old and over,1.27083
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,65 years old and over,0.60636
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,65 years old and over,0.83578
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,15 to 24 years old,0.5575
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,15 to 24 years old,0.1832
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,25 to 44 years old,2.66146
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,25 to 44 years old,2.49953
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,45 to 54 years old,0.98205
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,45 to 54 years old,0.89664
2001,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,55 to 64 years old,0.9254
2015,Travel related to unpaid care work is not included.,Proportion of time spent on unpaid care work [5.4.1],Male,55 to 64 years old,0.60416
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 years old and over,11.56669
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 years old and over,9.78472
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,65 years old and over,14.77123
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,65 years old and over,12.76796
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 to 24 years old,4.5274
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 to 24 years old,4.06244
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,25 to 44 years old,11.20576
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,25 to 44 years old,9.07461
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,45 to 54 years old,13.16831
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,45 to 54 years old,10.31524
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,55 to 64 years old,14.53332
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Female,55 to 64 years old,11.32431
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 years old and over,6.69087
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 years old and over,5.69444
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,65 years old and over,10.99153
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,65 years old and over,9.57463
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 to 24 years old,2.21516
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 to 24 years old,2.23645
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,25 to 44 years old,5.67419
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,25 to 44 years old,4.37035
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,45 to 54 years old,7.17051
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,45 to 54 years old,5.71683
2001,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,55 to 64 years old,8.72478
2015,Travel related to unpaid domestic work is not included.,Proportion of time spent on unpaid domestic chores [5.4.1],Male,55 to 64 years old,6.89663
