Year,SERIES,Value
2008,Non-performing loans to total gross loans (%) [10.5.1],1.55697368984839
2009,Non-performing loans to total gross loans (%) [10.5.1],3.50865701820859
2010,Non-performing loans to total gross loans (%) [10.5.1],3.95483378788783
2011,Non-performing loans to total gross loans (%) [10.5.1],3.9618682056152
2012,Non-performing loans to total gross loans (%) [10.5.1],3.58628400773794
2013,Non-performing loans to total gross loans (%) [10.5.1],3.11174173873799
2014,Non-performing loans to total gross loans (%) [10.5.1],1.65439245472471
2015,Non-performing loans to total gross loans (%) [10.5.1],1.01450846580939
2016,Non-performing loans to total gross loans (%) [10.5.1],0.940161283918784
2017,Non-performing loans to total gross loans (%) [10.5.1],0.734659749879133
2018,Non-performing loans to total gross loans (%) [10.5.1],1.07262754451579
2019,Non-performing loans to total gross loans (%) [10.5.1],1.0795039959047
2005,Return on assets (%) [10.5.1],0.95094894730664
2008,Return on assets (%) [10.5.1],-0.0831297391651503
2009,Return on assets (%) [10.5.1],-0.0026720005176525
2010,Return on assets (%) [10.5.1],0.316476487551012
2011,Return on assets (%) [10.5.1],0.294422997426777
2012,Return on assets (%) [10.5.1],0.170326196685778
2013,Return on assets (%) [10.5.1],0.223889675359384
2014,Return on assets (%) [10.5.1],0.330513389582683
2015,Return on assets (%) [10.5.1],0.275649427993498
2016,Return on assets (%) [10.5.1],0.250064491223277
2017,Return on assets (%) [10.5.1],0.492681328876266
2018,Return on assets (%) [10.5.1],0.497533568461242
2019,Return on assets (%) [10.5.1],0.464198858115632
2008,Regulatory capital to assets (%) [10.5.1],4.41328122610463
2009,Regulatory capital to assets (%) [10.5.1],5.39304807009135
2010,Regulatory capital to assets (%) [10.5.1],5.36611989213514
2011,Regulatory capital to assets (%) [10.5.1],5.09956513145533
2012,Regulatory capital to assets (%) [10.5.1],5.50896288366394
2013,Regulatory capital to assets (%) [10.5.1],6.34548637462939
2014,Regulatory capital to assets (%) [10.5.1],5.62132221166489
2015,Regulatory capital to assets (%) [10.5.1],6.83822926439126
2016,Regulatory capital to assets (%) [10.5.1],7.02517052448229
2017,Regulatory capital to assets (%) [10.5.1],6.78469168977896
2018,Regulatory capital to assets (%) [10.5.1],6.81646006540008
2019,Regulatory capital to assets (%) [10.5.1],6.7899180007364
2008,Non-performing loans net of provisions to capital (%) [10.5.1],8.64848697073157
2009,Non-performing loans net of provisions to capital (%) [10.5.1],14.7975849187733
2010,Non-performing loans net of provisions to capital (%) [10.5.1],16.8649363390134
2011,Non-performing loans net of provisions to capital (%) [10.5.1],16.1134062245664
2012,Non-performing loans net of provisions to capital (%) [10.5.1],13.8721492816137
2013,Non-performing loans net of provisions to capital (%) [10.5.1],9.4770603431779
2014,Non-performing loans net of provisions to capital (%) [10.5.1],5.37932468095875
2015,Non-performing loans net of provisions to capital (%) [10.5.1],3.87962826090239
2016,Non-performing loans net of provisions to capital (%) [10.5.1],3.44934661017466
2017,Non-performing loans net of provisions to capital (%) [10.5.1],2.94310337892946
2018,Non-performing loans net of provisions to capital (%) [10.5.1],6.80958664658105
2019,Non-performing loans net of provisions to capital (%) [10.5.1],6.3784736743323
2008,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],9.60975120920988
2009,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],11.5690737482887
2010,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],13.2322882917556
2011,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],13.3115478289476
2012,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],14.5076818081671
2013,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.0777352692212
2014,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],13.6253247716506
2015,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],15.6858136372728
2016,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.8847084420138
